title,rating,release,developer,genre
Oh Baby Kart,0.0,,Oh Baby Games,"Аркада, Мультиплеер, Гонки, Одиночная, От третьего лица"
Super Killer Hornet: Resurrection,0.0,,Flump Studios,"Экшн, Аркада, Шутер, Научная фантастика, Одиночная, Сверху/Изометрия"
Mario's Early Years: Preschool Fun,0.0,,The Software Toolworks,"Обучающая, Одиночная"
My Cute Roommate 2,0.0,,Astaros3d,"Для взрослых (18+), Симулятор, Романтика, Одиночная"
KingFish,0.0,,Firevolt,"Симулятор, Стратегия, Фэнтези, Выживание, Одиночная, Кооперативная, Сверху/Изометрия"
Отряд 22: ZOV,0.0,,SPN Studio,"В реальном времени, Тактика, Война, Одиночная, Сверху/Изометрия"
Professional Lumberjack 2015,0.0,,PlayWay S.A.,"Симулятор, Одиночная, От третьего лица"
Legionbound,0.0,,Spicy Garlic Games,"Ролевая, Стратегия, Фэнтези, Одиночная"
Lord of the Click 2,0.0,,HugePixel,"Мультиплеер, Стратегия, В реальном времени, Фэнтези, Одиночная, Разделённый экран, Вид сбоку"
Dungeon Sweeper Plus,0.0,,PLAYISM,"Головоломка, Одиночная, Сверху/Изометрия"
Toyland Tussle,0.0,,RBW Games,"Экшн, Платформер, Одиночная, Вид сбоку"
DevilConnection,0.0,,ChaoGames,"Приключение, Комедия, Одиночная, Текст"
Binan Koukou Chikyuu Bouei-bu LOVE MACHO,0.0,,,"Стратегия, Одиночная, Вид сбоку"
Syder Arcade,0.0,,Studio Evil,"Экшн, Аркада, Шутер, Научная фантастика, Одиночная, Вид сбоку"
Mario's Early Years: Fun With Numbers,0.0,,The Software Toolworks,"Обучающая, Одиночная"
Psychic World,0.0,,Hertz,"Экшн, Платформер, Одиночная, Вид сбоку"
Death Park 2,0.0,,Euphoria Games,"Экшн, Приключение, Хоррор, Выживание, Одиночная, От первого лица"
Alien Strike: Blasting the Intruders,0.0,,Combo Game Studio,"Экшн, Шутер, Платформер, Научная фантастика, Одиночная, Кооперативная, Разделённый экран, Вид сбоку"
Baseball Mogul 2018,3.0,,Sports Mogul,"Спортивная, Стратегия, Одиночная, Текст"
Table Football,0.0,,Four Door Lemon,"Карточная, Мультиплеер, Спортивная, Одиночная, Сверху/Изометрия"
Lord of the Click 5,0.0,,HugePixel,"Стратегия, В реальном времени, Фэнтези, Одиночная, Вид сбоку"
Lord of the Click 3,0.0,,HugePixel,"Стратегия, В реальном времени, Фэнтези, Одиночная, Вид сбоку"
Galactic Missile Defense,0.0,,Black Sheep Games,"Стратегия, Одиночная, Вид сбоку"
Mining Merchant,0.0,,Delayed Victory,"Приключение, Платформер, Одиночная, Вид сбоку"
Mittelborg: City of Mages,0.0,,Armatur Games,"Стратегия, Пошаговая, Фэнтези, Одиночная, Сверху/Изометрия, Текст"
Mario Artist: Paint Studio,3.0,,Software Creations,"Обучающая, Одиночная"
Jackass: The Game (DS),0.0,,Sensory Sweep Studios,"Экшн, Аркада, Мультиплеер, Комедия, Одиночная, От третьего лица"
DRAPLINE,0.0,,Vaka Game Magazine Kanawo,"Симулятор, Одиночная, Вид сбоку, Текст"
Moss: The Forgotten Relic,4.1,,Polyarc,"Ремейк, Приключение, Головоломка, Платформер, Фэнтези, Одиночная, От третьего лица"
Toaplan Arcade Collection Vol.1,2.9,,Toaplan Bitwave Games Retroid Interactive,"Сборник, Экшн, Аркада, Шутер, Одиночная, Кооперативная, Разделённый экран, Сверху/Изометрия"
My Cute Roommate,0.0,,Astaros3d,"Для взрослых (18+), Симулятор, Романтика, Одиночная"
The Wilds of Dacrima: Field Notes from a Poorly Supervised Alchemist and his Unruly Clockwork Companion,0.0,,Antler Studios,"Приключение, Одиночная, От первого лица"
Oakwood,0.0,,Breaking Dimensions Polygon Dust Entertainment Ltd.,"Экшн, Приключение, Хоррор, От первого лица"
Baseball Mogul 2017,0.0,,Sports Mogul,"Спортивная, Стратегия, Одиночная, Текст"
World of Kings,0.0,,Archosaur Games,"ММО, Мультиплеер, Ролевая, Фэнтези, Сверху/Изометрия"
Cubic Cosmos,0.0,,Inkstone Atelier,"Карточная, Ролевая, Фэнтези, Одиночная"
My Singing Monsters Composer,3.4,,Big Blue Bubble,"Симулятор, Музыка, Фэнтези, Одиночная, Сверху/Изометрия"
Aria's Story,0.0,,LydiaBluebell,"Приключение, Хоррор, Одиночная, Сверху/Изометрия"
Soukou Kihei Votoms,0.0,,Yuke's,"Экшн, Симулятор, Шутер, Научная фантастика, Одиночная, Кооперативная, Разделённый экран, От третьего лица"
War Hospital - X-ray,0.0,,Brave Lamb Studio S.A.,"Ролевая, Стратегия, В реальном времени, Война, Историческая, Одиночная, Сверху/Изометрия"
